id_sitio_trans,sitiodispfinal_milagro,sitiodispfinal_cañada,sitiodispfinal_cuauti,sitiodispfinal_chicolo,sitiodispfinal_cuautla,planta_compost,plantaselec_stacat,plantaselec_sja
sitio_transferencia_miguelh,0,0,0,0,0,0,0,0
sitio_transferencia_alvaro,199.61,309.14,272.88,0,0,146.41,81.13,295.15
sitio_transferencia_tlalpan,65.15,122.23,0,0,0,111.79,34.90,07.05
sitio_transferencia_coyo,226.13,335.28,0,6.71,6.49,294.19,76.67,122.37
sitio_transferencia_xochi,88.41,141.19,0.14,0,0,78.20,73.19,4.2
sitio_transferencia_milpa, 6.45,22.45,0.04,0,0,22.73,10.42,0.03
sitio_transferencia_venus,353.14,27.65,0,4.31,0,106.92,38.23,20.24
sitio_transferncia_benito,67.07,111.81,38.01,3.72,0,45.04,30.99,72.9
sitio_tranferencia_iztapa,419.03,579.39,9.51,36.74,0,191.63,46.59,343.63
sio_transferencia_cuauhtémoc,151.94,286.80,39.28,19.53,0,51.91,49.34,90.34
sito_transferencia_gam,6.75,9.13,13.30,0.86,0,119.46,0,6.51
sitio_transferencia_azcapo,272.24, 91.08,350.41,13.10,0,104.30,49.35,168.56